Product,Name,Rating,CommentHead,Comment
acerspin3,Dharmendra singh Rana,5,Fabulous!,very good but small in size but very good and company Is also good I like this mouse very much and   very adorable plz buy
acerspin3,Flipkart Customer,5,Brilliant,product is good quality so small but easy to use and carry liked the product so cute
acerspin3,Flipkart Customer,5,Highly recommended,Good quality and good work so beautifull mouse and thank you Flipkart.
acerspin3,Subhadeep Biswas,4,Good quality product,"Mouse size is on smaller size, but response good... Comfortable in hand..."
acerspin3,Smiley,5,Excellent,Lovely❤️
acerspin3,irfan  khan,5,Must buy!,"Good quality,  mouse wire more than 1 metre."
acerspin3,Abirami C,4,Nice product,"Mouse is so smaall, but its working properly, good."
acerspin3,Ankit Patel,5,Simply awesome,Best byyyy love ❤️❤️ it
acerspin3,Flipkart Customer,5,Must buy!,Very good very nice
acerspin3,Mayank Chauhan,5,Best in the market!,Nice product in this price 👌👍
acerspin3,Mayank Chauhan,No Rating,No Comment Heading,Nice product in this price 👌👍
